group,code,text
object,0,beaconTimer
object,1,backendLogin
object,2,cernerObtainToken
object,3,cernerAuthenticate
object,4,selectUnit
object,5,login
object,6,patientList
object,7,patientDetail
action,0,error
action,101,beaconStatus
action,201,challenge
action,202,challengeError
action,203,challengeAccepted
action,204,connecting
action,205,logged
action,206,logout
action,301,obtained
action,302,authenticating
action,303,authenticated
action,401,selected
action,501,help
action,502,loaded
action,503,loadError
action,601,refresh
action,602,selectPatient
action,701,answer
action,702,showGroup
action,703,EMRInfoHidden
action,704,EMRInfoExpanded

