,id,session_id,date,object,action,strValue,unit_id,user_detail_id,intValue,just_date
28620,29918,2139699710,2017-05-15 13:07:14.407210,1,201,nm177724,3.0,67,,2017-05-15
28621,29919,2139699710,2017-05-15 13:07:14.536299,1,203,nm177724,3.0,67,,2017-05-15
28622,29920,2139699710,2017-05-15 13:07:14.536680,2,204,nm177724,3.0,67,,2017-05-15
28623,29921,2139699710,2017-05-15 13:07:14.567145,2,301,nm177724,3.0,67,,2017-05-15
28624,29922,2139699710,2017-05-15 13:07:14.567565,3,302,nm177724,3.0,67,,2017-05-15
28625,29923,2139699710,2017-05-15 13:07:14.591002,3,303,nm177724,3.0,67,,2017-05-15
28626,29924,2139699710,2017-05-15 13:07:14.591587,1,204,nm177724,3.0,67,,2017-05-15
28627,29925,2139699710,2017-05-15 13:07:14.657639,1,205,nm177724,3.0,67,,2017-05-15
28628,29926,2139699710,2017-05-15 13:07:15.390507,0,101,,3.0,67,,2017-05-15
28629,29927,2139699710,2017-05-15 13:07:18.704689,4,401,,3.0,67,3.0,2017-05-15
28630,29928,4050097364,2017-05-15 13:07:06.340365,1,201,nm177719,4.0,69,,2017-05-15
28631,29929,4050097364,2017-05-15 13:07:07.233227,1,203,nm177719,4.0,69,,2017-05-15
28632,29930,4050097364,2017-05-15 13:07:07.233745,2,204,nm177719,4.0,69,,2017-05-15
28633,29931,4050097364,2017-05-15 13:07:11.283526,2,301,nm177719,4.0,69,,2017-05-15
28634,29932,4050097364,2017-05-15 13:07:11.284063,3,302,nm177719,4.0,69,,2017-05-15
28635,29933,4050097364,2017-05-15 13:07:11.910833,3,303,nm177719,4.0,69,,2017-05-15
28636,29934,4050097364,2017-05-15 13:07:11.911627,1,204,nm177719,4.0,69,,2017-05-15
28637,29935,4050097364,2017-05-15 13:07:11.933503,0,101,,4.0,69,,2017-05-15
28638,29936,4050097364,2017-05-15 13:07:12.108072,1,205,nm177719,4.0,69,,2017-05-15
28639,29937,4050097364,2017-05-15 13:07:14.111250,4,401,,4.0,69,4.0,2017-05-15
28640,29938,4050097364,2017-05-15 13:07:16.933663,0,101,,4.0,69,,2017-05-15
28641,29939,2139699710,2017-05-15 13:07:48.589820,6,502,,3.0,67,,2017-05-15
28642,29940,4050097364,2017-05-15 13:08:30.375724,6,502,,4.0,69,,2017-05-15
28643,29941,2139699710,2017-05-15 13:09:37.229240,6,602,098d477fde14ee3ee30c9f363d5ac06f85c3ca51,3.0,67,,2017-05-15
28644,29942,2139699710,2017-05-15 13:09:39.782911,7,702,08,3.0,67,,2017-05-15
28645,29943,4050097364,2017-05-15 13:09:38.866450,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28646,29944,4050097364,2017-05-15 13:09:41.877696,7,702,01,4.0,69,,2017-05-15
28647,29945,2139699710,2017-05-15 13:09:49.978649,7,702,07,3.0,67,,2017-05-15
28648,29946,2139699710,2017-05-15 13:09:50.180830,7,702,03,3.0,67,,2017-05-15
28649,29947,2139699710,2017-05-15 13:09:58.292248,7,704,dvt,3.0,67,,2017-05-15
28650,29948,4050097364,2017-05-15 13:09:54.204123,7,701,,4.0,69,,2017-05-15
28651,29949,4050097364,2017-05-15 13:09:58.384689,7,704,ventilatorWeaning,4.0,69,,2017-05-15
28652,29950,2139699710,2017-05-15 13:10:05.649508,7,703,dvt,3.0,67,,2017-05-15
28653,29951,2139699710,2017-05-15 13:10:07.646187,7,702,10,3.0,67,,2017-05-15
28654,29952,2139699710,2017-05-15 13:10:11.155045,7,704,linesFood,3.0,67,,2017-05-15
28655,29953,2139699710,2017-05-15 13:10:21.601062,7,703,linesFood,3.0,67,,2017-05-15
28656,29954,4050097364,2017-05-15 13:10:15.908892,7,703,ventilatorWeaning,4.0,69,,2017-05-15
28657,29955,4050097364,2017-05-15 13:10:19.958166,7,701,,4.0,69,,2017-05-15
28658,29956,4050097364,2017-05-15 13:10:22.890909,7,701,,4.0,69,,2017-05-15
28659,29957,4050097364,2017-05-15 13:10:24.257445,7,701,,4.0,69,,2017-05-15
28660,29958,4050097364,2017-05-15 13:10:25.857718,7,702,03,4.0,69,,2017-05-15
28661,29959,4050097364,2017-05-15 13:10:26.107936,7,702,06,4.0,69,,2017-05-15
28662,29960,4050097364,2017-05-15 13:10:28.397641,7,704,linesFood,4.0,69,,2017-05-15
28663,29961,2139699710,2017-05-15 13:10:34.893899,7,702,07,3.0,67,,2017-05-15
28664,29962,2139699710,2017-05-15 13:10:38.561216,7,702,08,3.0,67,,2017-05-15
28665,29963,2139699710,2017-05-15 13:10:46.068894,7,701,,3.0,67,,2017-05-15
28666,29964,2139699710,2017-05-15 13:10:49.177110,7,704,pressureUlcer,3.0,67,,2017-05-15
28667,29965,2139699710,2017-05-15 13:10:52.454270,7,703,pressureUlcer,3.0,67,,2017-05-15
28668,29966,2139699710,2017-05-15 13:10:56.571446,7,701,,3.0,67,,2017-05-15
28669,29967,2139699710,2017-05-15 13:11:00.432399,7,702,03,3.0,67,,2017-05-15
28670,29968,4050097364,2017-05-15 13:10:54.478958,7,703,linesFood,4.0,69,,2017-05-15
28671,29969,2139699710,2017-05-15 13:11:04.364805,7,702,10,3.0,67,,2017-05-15
28672,29970,4050097364,2017-05-15 13:11:06.990137,7,702,07,4.0,69,,2017-05-15
28673,29971,2139699710,2017-05-15 13:11:32.710530,6,502,,3.0,67,,2017-05-15
28674,29972,4050097364,2017-05-15 13:11:12.307420,7,702,08,4.0,69,,2017-05-15
28675,29973,4050097364,2017-05-15 13:11:20.797374,7,702,06,4.0,69,,2017-05-15
28676,29974,4050097364,2017-05-15 13:11:21.647368,7,702,03,4.0,69,,2017-05-15
28677,29975,4050097364,2017-05-15 13:11:22.714803,7,702,01,4.0,69,,2017-05-15
28678,29976,4050097364,2017-05-15 13:11:29.509566,7,702,06,4.0,69,,2017-05-15
28679,29977,4050097364,2017-05-15 13:11:38.561781,6,502,,4.0,69,,2017-05-15
28680,29978,2139699710,2017-05-15 13:12:51.209708,6,602,098d477fde14ee3ee30c9f363d5ac06f85c3ca51,3.0,67,,2017-05-15
28681,29979,2139699710,2017-05-15 13:12:53.684362,7,702,03,3.0,67,,2017-05-15
28682,29980,2139699710,2017-05-15 13:13:50.219382,6,502,,3.0,67,,2017-05-15
28683,29981,4050097364,2017-05-15 13:13:50.834131,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28684,29982,4050097364,2017-05-15 13:13:53.538257,7,702,01,4.0,69,,2017-05-15
28685,29983,4050097364,2017-05-15 13:13:55.708683,6,502,,4.0,69,,2017-05-15
28686,29984,4050097364,2017-05-15 13:14:20.298130,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28687,29985,4050097364,2017-05-15 13:14:22.857944,7,702,01,4.0,69,,2017-05-15
28688,29986,4050097364,2017-05-15 13:14:39.275210,6,502,,4.0,69,,2017-05-15
28689,29987,2139699710,2017-05-15 13:16:06.018601,6,502,,3.0,67,,2017-05-15
28690,29988,2139699710,2017-05-15 13:16:12.955344,6,602,098d477fde14ee3ee30c9f363d5ac06f85c3ca51,3.0,67,,2017-05-15
28691,29989,2139699710,2017-05-15 13:16:15.316872,7,702,03,3.0,67,,2017-05-15
28692,29990,2139699710,2017-05-15 13:16:18.263999,6,502,,3.0,67,,2017-05-15
28693,29991,2139699710,2017-05-15 13:16:28.532811,5,206,nm177724,3.0,67,,2017-05-15
28694,29992,4050097364,2017-05-15 13:16:21.008190,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28695,29993,4050097364,2017-05-15 13:16:23.414569,7,702,01,4.0,69,,2017-05-15
28696,29994,4050097364,2017-05-15 13:16:25.498004,7,702,06,4.0,69,,2017-05-15
28697,29995,4050097364,2017-05-15 13:16:25.605684,7,702,03,4.0,69,,2017-05-15
28698,29996,4050097364,2017-05-15 13:16:27.239717,7,702,08,4.0,69,,2017-05-15
28699,29997,4050097364,2017-05-15 13:16:32.889788,7,702,01,4.0,69,,2017-05-15
28700,29998,4050097364,2017-05-15 13:16:34.237891,6,502,,4.0,69,,2017-05-15
28748,30046,4050097364,2017-05-15 13:19:07.944260,5,206,nm177719,4.0,69,,2017-05-15
28750,30048,671453126,2017-05-15 13:19:27.779807,1,201,rgupta3,4.0,65,,2017-05-15
28751,30049,671453126,2017-05-15 13:19:27.934675,1,203,rgupta3,4.0,65,,2017-05-15
28752,30050,671453126,2017-05-15 13:19:27.935111,2,204,rgupta3,4.0,65,,2017-05-15
28753,30051,671453126,2017-05-15 13:19:28.392937,2,301,rgupta3,4.0,65,,2017-05-15
28754,30052,671453126,2017-05-15 13:19:28.393491,3,302,rgupta3,4.0,65,,2017-05-15
28755,30053,671453126,2017-05-15 13:19:28.609409,3,303,rgupta3,4.0,65,,2017-05-15
28756,30054,671453126,2017-05-15 13:19:28.610189,1,204,rgupta3,4.0,65,,2017-05-15
28757,30055,671453126,2017-05-15 13:19:28.649284,1,205,rgupta3,4.0,65,,2017-05-15
28758,30056,671453126,2017-05-15 13:19:29.850471,0,101,,4.0,65,,2017-05-15
28759,30057,671453126,2017-05-15 13:19:30.395632,4,401,,4.0,65,4.0,2017-05-15
28760,30058,671453126,2017-05-15 13:19:37.090256,6,502,,4.0,65,,2017-05-15
28761,30059,671453126,2017-05-15 13:19:55.988456,5,206,rgupta3,4.0,65,,2017-05-15
28762,30060,3539285068,2017-05-15 13:19:28.862485,1,201,bmestous,3.0,67,,2017-05-15
28763,30061,3539285068,2017-05-15 13:19:28.887676,1,202,bmestous,3.0,67,,2017-05-15
28764,30062,3547602005,2017-05-15 13:20:31.911774,1,201,nm177724,3.0,67,,2017-05-15
28765,30063,3547602005,2017-05-15 13:20:32.064300,1,203,nm177724,3.0,67,,2017-05-15
28766,30064,3547602005,2017-05-15 13:20:32.064666,2,204,nm177724,3.0,67,,2017-05-15
28767,30065,3547602005,2017-05-15 13:20:32.835417,2,301,nm177724,3.0,67,,2017-05-15
28768,30066,3547602005,2017-05-15 13:20:32.836377,3,302,nm177724,3.0,67,,2017-05-15
28769,30067,3547602005,2017-05-15 13:20:33.146519,3,303,nm177724,3.0,67,,2017-05-15
28770,30068,3547602005,2017-05-15 13:20:33.147462,1,204,nm177724,3.0,67,,2017-05-15
28771,30069,3547602005,2017-05-15 13:20:33.208003,1,205,nm177724,3.0,67,,2017-05-15
28772,30070,3547602005,2017-05-15 13:20:34.796644,0,101,,3.0,67,,2017-05-15
28773,30071,3547602005,2017-05-15 13:20:35.869033,4,401,,3.0,67,3.0,2017-05-15
28774,30072,3547602005,2017-05-15 13:20:46.414918,6,502,,3.0,67,,2017-05-15
28775,30073,3547602005,2017-05-15 13:20:51.575758,6,602,098d477fde14ee3ee30c9f363d5ac06f85c3ca51,3.0,67,,2017-05-15
28776,30074,3547602005,2017-05-15 13:20:55.174549,7,702,07,3.0,67,,2017-05-15
28777,30075,667750532,2017-05-15 13:20:30.807032,1,201,nm177719,4.0,69,,2017-05-15
28778,30076,667750532,2017-05-15 13:20:30.921330,1,203,nm177719,4.0,69,,2017-05-15
28779,30077,667750532,2017-05-15 13:20:30.921721,2,204,nm177719,4.0,69,,2017-05-15
28780,30078,667750532,2017-05-15 13:20:31.282485,2,301,nm177719,4.0,69,,2017-05-15
28781,30079,667750532,2017-05-15 13:20:31.283033,3,302,nm177719,4.0,69,,2017-05-15
28782,30080,667750532,2017-05-15 13:20:32.643076,3,0,nm177719,4.0,69,,2017-05-15
28783,30081,667750532,2017-05-15 13:20:34.850452,0,101,,4.0,69,,2017-05-15
28784,30082,2658318468,2017-05-15 13:20:50.920862,1,201,nm177719,4.0,69,,2017-05-15
28785,30083,2658318468,2017-05-15 13:20:51.234734,1,203,nm177719,4.0,69,,2017-05-15
28786,30084,2658318468,2017-05-15 13:20:51.235246,2,204,nm177719,4.0,69,,2017-05-15
28787,30085,2658318468,2017-05-15 13:20:51.320251,2,301,nm177719,4.0,69,,2017-05-15
28788,30086,2658318468,2017-05-15 13:20:51.320807,3,302,nm177719,4.0,69,,2017-05-15
28789,30087,2658318468,2017-05-15 13:20:51.346029,3,303,nm177719,4.0,69,,2017-05-15
28790,30088,2658318468,2017-05-15 13:20:51.346859,1,204,nm177719,4.0,69,,2017-05-15
28791,30089,2658318468,2017-05-15 13:20:51.426706,1,205,nm177719,4.0,69,,2017-05-15
28792,30090,2658318468,2017-05-15 13:20:53.224658,4,401,,4.0,69,4.0,2017-05-15
28793,30091,2658318468,2017-05-15 13:20:54.850459,0,101,,4.0,69,,2017-05-15
28794,30092,3547602005,2017-05-15 13:21:14.326497,6,502,,3.0,67,,2017-05-15
28795,30093,2658318468,2017-05-15 13:21:12.456922,6,502,,4.0,69,,2017-05-15
28796,30094,3547602005,2017-05-15 13:21:27.917708,5,206,nm177724,3.0,67,,2017-05-15
28882,30180,2658318468,2017-05-15 13:33:25.183966,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28883,30181,2658318468,2017-05-15 13:33:28.185062,7,702,01,4.0,69,,2017-05-15
28884,30182,2658318468,2017-05-15 13:38:44.958502,6,502,,4.0,69,,2017-05-15
28946,30244,2658318468,2017-05-15 13:42:24.632824,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28947,30245,2658318468,2017-05-15 13:42:27.271551,7,702,08,4.0,69,,2017-05-15
28958,30256,2658318468,2017-05-15 13:42:35.476868,7,701,,4.0,69,,2017-05-15
28959,30257,2658318468,2017-05-15 13:42:37.034712,7,702,07,4.0,69,,2017-05-15
28960,30258,2658318468,2017-05-15 13:42:37.211486,7,702,06,4.0,69,,2017-05-15
28961,30259,2658318468,2017-05-15 13:42:42.628722,7,701,,4.0,69,,2017-05-15
28962,30260,2658318468,2017-05-15 13:42:43.531987,7,701,,4.0,69,,2017-05-15
28963,30261,2658318468,2017-05-15 13:43:20.015482,7,702,03,4.0,69,,2017-05-15
28964,30262,2658318468,2017-05-15 13:43:22.251050,7,701,,4.0,69,,2017-05-15
28965,30263,2658318468,2017-05-15 13:43:28.916638,7,702,10,4.0,69,,2017-05-15
28966,30264,2658318468,2017-05-15 13:43:59.355056,7,701,,4.0,69,,2017-05-15
28967,30265,2658318468,2017-05-15 13:44:03.940129,7,701,,4.0,69,,2017-05-15
28968,30266,2658318468,2017-05-15 13:44:14.023964,6,502,,4.0,69,,2017-05-15
28969,30267,2658318468,2017-05-15 13:44:15.015326,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28970,30268,2658318468,2017-05-15 13:44:17.078356,6,502,,4.0,69,,2017-05-15
28983,30281,2658318468,2017-05-15 13:46:40.330452,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28984,30282,2658318468,2017-05-15 13:46:43.351043,7,702,08,4.0,69,,2017-05-15
28985,30283,2658318468,2017-05-15 13:46:45.664610,6,502,,4.0,69,,2017-05-15
28986,30284,2658318468,2017-05-15 13:46:46.570393,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28987,30285,2658318468,2017-05-15 13:46:48.464830,7,702,07,4.0,69,,2017-05-15
28988,30286,2658318468,2017-05-15 13:46:50.687891,7,702,06,4.0,69,,2017-05-15
